subsys4	010B	001B	009B	012B	013A	014B	017B	018B
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	2	1	1	15	134	7	7	1
Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)	0	0	1	0	0	0	1	0
Alpha-galactosidase (EC 3.2.1.22)	470	621	356	265	200	355	684	314
Alpha-glucosidase (EC 3.2.1.20)	9	9	28	1037	1109	1469	598	111
Alpha-glucosidase SusB (EC 3.2.1.20)	4	8	2	773	1112	2496	3765	1547
Alpha-glucoside transport ATP-binding protein AglK	0	0	0	0	0	0	0	0
Alpha-glucosides-binding periplasmic protein AglE precursor	0	0	0	0	0	8	1	5
Alpha-glycerophosphate oxidase (EC 1.1.3.21)	10	27	52	72	345	314	2061	9
Alpha-hemolysin precursor	0	0	0	0	0	0	0	0
Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	0	0	0	0	0	0	0	0
Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55)	0	0	0	73	0	0	4	1
Alpha-L-fucosidase (EC 3.2.1.51)	0	0	1	87	7	5	99	27
Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	1	1	0	185	5	20	274	128
Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)	2	1	2	25	73	121	243	84
Alpha-mannosidase (EC 3.2.1.24)	166	64	273	144	3	10	308	128
Alpha-N-acetylglucosaminidase (EC 3.2.1.50)	1	1	0	27	1	14	20	13
Alpha-N-arabinofuranosidase (EC 3.2.1.55)	0	0	0	0	0	0	1	0
Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	3	6	3	567	359	650	1666	740
Alpha-xylosidase (EC 3.2.1.-)	1346	2628	1416	33	1	10	11	2
Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)	0	0	0	0	0	0	0	0
alternate gene name: yzbB	0	0	0	17	10	92	5	2
Altronate hydrolase (EC 4.2.1.7)	1	0	0	0	0	0	1	1
Altronate oxidoreductase (EC 1.1.1.58)	1	1	0	0	0	0	0	0
Amidophosphoribosyltransferase (EC 2.4.2.14)	12	16	11	1884	644	2725	3191	1645
Amino acid permease in 4-hydroxyproline catabolic gene cluster	244	478	675	1	1	2	1	1
Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	27	61	15	8806	6303	9855	25040	10060
Aminobenzoyl-glutamate transport protein	0	0	0	0	0	0	0	0
Aminodeoxychorismate lyase (EC 4.1.3.38)	1	5	2	6	56	78	196	85
Aminoglycoside N6'-acetyltransferase (EC 2.3.1.82)	3	4	3	823	317	1002	1600	1275
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	21	9	2	299	18	22	458	47
Aminopeptidase C (EC 3.4.22.40)	4865	16186	6279	9761	7545	17145	28554	13696
Aminopeptidase S (Leu, Val, Phe, Tyr preference) (EC 3.4.11.24)	3	14	5	7	38	96	227	91
Aminopeptidase Y (Arg, Lys, Leu preference) (EC 3.4.11.15)	3	5	2	519	653	1430	2179	956
Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	2514	6692	5410	2481	3210	3248	4676	2227
Ammonium transporter	3	6	4	1024	164	557	2099	1306
AMP nucleosidase (EC 3.2.2.4)	1	0	0	2	0	1	2	0
AmpG permease	3	5	4	278	614	1507	1874	1190
Anaerobic dehydrogenases, typically selenocysteine-containing	0	0	0	0	0	0	1	1
Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	0	1	1	0	0	0	1	0
Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	0	0	0	0	0	0	0	0
Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.99.-)	0	0	0	0	2	0	0	0
Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	6	9	2	278	445	208	1801	467
Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	3	6	3	145	211	196	1227	302
Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)	1	3	0	103	154	162	1085	329
Anaerobic nitric oxide reductase flavorubredoxin	4	8	4	629	1047	1495	3207	1805
Anaerobic sulfite reductase subunit A	0	0	0	0	0	0	0	0
Anaerobic sulfite reductase subunit B	0	0	0	0	1	0	0	0
Anaerobic sulfite reductase subunit C (EC 1.8.1.-)	0	0	0	0	0	0	0	0
Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)	0	2	1	1	0	0	1	0
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	2	2	2	2	325	118	617	158
Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	1	2	2	47	129	228	622	310
Anthranilate synthase, aminase component (EC 4.1.3.27)	3	3	1	1	314	192	903	217
anti sigma b factor antagonist RsbV	1	8	1	2	1	1	11	7
Antiadhesin Pls, binding to squamous nasal epithelial cells	0	0	0	0	1	1	8	1
Antiholin-like protein LrgA	4	17	49	215	399	567	1297	316
Antiphagocytic M protein	0	0	0	0	1	4	0	1
Antisigma transmembrane sensor FpvR	0	2	0	90	4	17	11	15
Apolipoprotein N-acyltransferase (EC 2.3.1.-)	0	1	0	0	0	1	0	0
Aquaporin (Major Intrinsic Protein Family)	0	0	0	0	0	0	0	0
Aquaporin Z	6	9	7	983	375	4875	2887	2829
Arabinan endo-1,5-alpha-L-arabinosidase (EC 3.2.1.99)	0	0	0	6	5	38	7	1
Arabinogalactan endo-1,4-beta-galactosidase (EC 3.2.1.89)	0	0	0	0	0	0	0	0
Arabinose 5-phosphate isomerase (EC 5.3.1.13)	19	409	69	551	114	199	298	196
Arabinose operon regulatory protein	0	0	0	0	0	0	4	0
Arabinose-proton symporter	0	1	1	2	3	7	1	3
archaeal ATPase, fused to C-terminal DUF234 domain	1	1	1	89	33	10	54	38
AreA (Esterase for aryl ester catabolic pathway) (EC 3.1.1.-)	0	1	0	0	0	0	0	0
Arginase (EC 3.5.3.1)	0	0	0	0	0	0	0	0
Arginine ABC transporter, ATP-binding protein ArtP	0	0	0	0	0	2	0	0
Arginine ABC transporter, periplasmic arginine-binding protein ArtI	0	0	0	2	0	2	6	0
Arginine ABC transporter, periplasmic arginine-binding protein ArtJ	0	0	1	203	117	161	539	85
Arginine ABC transporter, permease protein ArtM	1	4	1	0	0	0	0	0
Arginine ABC transporter, permease protein ArtQ	0	0	0	0	0	0	0	0
Arginine decarboxylase (EC 4.1.1.19)	0	0	0	0	0	0	2	0
Arginine decarboxylase, catabolic (EC 4.1.1.19)	0	0	0	0	0	0	0	0
Arginine deiminase (EC 3.5.3.6)	591	4394	340	1724	736	747	1702	147
Arginine N-succinyltransferase (EC 2.3.1.109)	0	0	0	0	0	0	0	0
Arginine pathway regulatory protein ArgR, repressor of arg regulon	18	27	50	2886	2084	5033	4816	3332
Arginine permease RocE	0	0	0	6	9	9	31	9
Arginine utilization protein RocB	0	2	0	2	1	1	5	7
Arginine/agmatine antiporter	0	1	0	0	0	0	0	0
Arginine/ornithine antiporter	2	56	1	1	1	2	2	2
Arginine/ornithine antiporter ArcD	10	1735	29	800	802	643	880	96
Argininosuccinate lyase (EC 4.3.2.1)	6	36	8	904	1504	878	3077	938
Argininosuccinate synthase (EC 6.3.4.5)	7	14	7	1735	1519	898	4319	1847
Arginyl-tRNA synthetase (EC 6.1.1.19)	925	2476	2035	3519	4030	6524	9143	4061
Arogenate dehydrogenase (EC 1.3.1.43)	2	2	1	219	63	165	297	276
AroM protein	0	0	0	0	0	0	0	0
Aromatic amino acid aminotransferase gamma (EC 2.6.1.57)	1602	3604	1272	2	3	3	2	3
Aromatic amino acid transport protein AroP	1	0	0	1	2	1	6	1
Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family)	596	1638	546	2	89	238	9	2
Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	0	0	0	0	0	0	1	0
Arsenate reductase (EC 1.20.4.1)	1185	1658	605	413	274	796	1174	614
Arsenical pump-driving ATPase (EC 3.6.3.16)	1	0	1	0	1	1	1	0
Arsenical resistance operon repressor	0	0	0	0	0	0	0	0
Arsenical resistance operon trans-acting repressor ArsD	1	1	1	1	1	1	1	1
Arsenical-resistance protein ACR3	0	0	0	0	0	0	1	0
Arylsulfatase (EC 3.1.6.1)	2	1	1	125	6	77	124	37
Ascorbate utilization transcriptional regulator UlaR, HTH-type	0	0	0	0	0	0	0	0
Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	1824	16739	7898	10	24	20	9	24
Ascorbate-specific PTS system, EIIB component (EC 2.7.1.69)	1547	11940	5667	1453	503	4161	753	837
Ascorbate-specific PTS system, EIIC component	1013	6909	3362	1224	235	411	1390	935
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	987	3334	2134	1864	1880	1940	1753	946
Asparaginyl-tRNA synthetase (EC 6.1.1.22)	4190	11597	7485	3577	6158	8235	8353	3984
Aspartate 1-decarboxylase (EC 4.1.1.11)	20	20	12	1116	1187	4287	6760	3419
Aspartate aminotransferase (EC 2.6.1.1)	252	578	418	3261	2038	4571	8063	4093
Aspartate ammonia-lyase (EC 4.3.1.1)	16	20	15	955	923	1671	2772	1398
Aspartate carbamoyltransferase (EC 2.1.3.2)	2566	8070	2498	3734	1205	5135	4401	2925
Aspartate carbamoyltransferase regulatory chain (PyrI)	6	15	7	834	345	1421	4612	1549
Aspartate racemase (EC 5.1.1.13)	1397	3879	2190	873	1309	1670	1355	474
Aspartate--ammonia ligase (EC 6.3.1.1)	148	360	369	795	1256	2043	754	142
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	43	1764	626	2249	2636	5025	7176	3803
Aspartate/ornithine carbamoyltransferase family protein protein YgeW	0	0	0	0	1	0	0	1
Aspartokinase (EC 2.7.2.4)	452	1946	904	3587	2691	7331	9654	5261
Aspartyl-tRNA synthetase (EC 6.1.1.12)	1681	4991	3242	3170	4473	7510	7171	3323
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6)	3759	11481	5520	6319	4974	5992	7090	3440
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6)	3777	13456	6504	5833	6287	7244	8227	3664
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6)	2989	11755	5501	16534	9084	13710	10263	5151
Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	15	24	11	2324	753	2005	5092	3126
ATP phosphoribosyltransferase (EC 2.4.2.17)	0	0	0	0	0	0	0	0
ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	0	0	0	0	0	0	0	0
ATP synthase A chain (EC 3.6.3.14)	16679	43942	24686	31515	19735	27993	45658	19600
ATP synthase alpha chain (EC 3.6.3.14)	9232	22726	11991	31747	26907	35307	71272	25944
ATP synthase B chain (EC 3.6.3.14)	24336	63174	38139	52694	33373	49978	94116	38998
ATP synthase beta chain (EC 3.6.3.14)	13720	32495	17968	42701	39533	41446	77757	28710
ATP synthase C chain (EC 3.6.3.14)	4430	11023	4491	59023	68137	70005	101582	59430
ATP synthase delta chain (EC 3.6.3.14)	18674	42202	23340	60861	46898	63799	114762	48676
ATP synthase epsilon chain (EC 3.6.3.14)	30427	64321	33576	30875	10921	21771	58393	18909
ATP synthase gamma chain (EC 3.6.3.14)	24394	65373	35353	38850	29196	31028	63746	32091
ATP synthase protein I	268	63	13	15664	3705	14659	17094	12120
ATP-binding protein p271	1	1	0	2	2	1	1	1
ATP-dependent Clp protease adaptor protein ClpS	1	1	1	7	1	1	1	1
ATP-dependent Clp protease ATP-binding subunit ClpA	9924	16117	4213	10813	8253	4971	10839	10685
ATP-dependent Clp protease ATP-binding subunit ClpX	1921	5737	3237	6657	5695	8334	10977	4452
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	3442	7006	3221	11728	8336	16570	23181	14324
ATP-dependent Clp protease, ATP-binding subunit ClpC	46	61	31	2039	567	1704	4670	3148
ATP-dependent DNA helicase pcrA (EC 3.6.1.-)	0	1	0	1	2	3	90	0
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	1099	2859	1779	545	426	843	1758	873
ATP-dependent DNA helicase RecQ	440	895	506	1429	615	1598	2553	962
ATP-dependent DNA helicase Rep	0	0	0	0	0	0	0	0
ATP-dependent DNA helicase SCO5183	1	1	1	104	30	211	247	162
ATP-dependent DNA helicase SCO5184	1	1	0	144	69	222	366	235
ATP-dependent DNA helicase UvrD/PcrA	921	2888	1989	1752	1435	2470	2227	951
ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog	0	1	1	99	22	143	221	271
ATP-dependent DNA helicase UvrD/PcrA, clostridial paralog	1	1	0	87	99	202	342	160
ATP-dependent DNA helicase UvrD/PcrA, clostridial paralog 2	0	0	0	0	7	230	0	0
ATP-dependent DNA helicase, RecQ family	3	3	1	80	117	313	445	159
ATP-dependent helicase DinG/Rad3	1	0	0	0	0	0	0	0
ATP-dependent hsl protease ATP-binding subunit HslU	2145	6841	4323	3372	7620	5208	4637	1137
ATP-dependent nuclease, subunit A	408	1036	824	438	217	671	808	416
ATP-dependent nuclease, subunit B	190	679	381	267	74	204	189	160
ATP-dependent protease HslV (EC 3.4.25.-)	3069	8454	5662	4556	9501	6340	4461	1107
ATP-dependent protease La (EC 3.4.21.53)	0	2	0	0	0	0	3	0
ATP-dependent protease La (EC 3.4.21.53) Type I	24	51	11	3822	1857	3072	5804	2996
ATP-dependent protease La (EC 3.4.21.53) Type II	0	0	0	0	0	0	0	0
ATP-dependent RNA helicase BA2475	1	0	0	0	0	0	0	0
ATP-dependent RNA helicase DbpA	0	0	0	0	0	0	0	0
ATP-dependent RNA helicase RhlB	0	1	0	0	1	1	0	0
ATP-dependent RNA helicase RhlE	1	3	1	352	12	106	600	305
ATP-dependent RNA helicase SrmB	1	0	0	0	0	0	0	0
ATP-dependent RNA helicase YfmL	1555	3774	2068	340	494	492	153	33
ATP-dependent RNA helicase YqfR	1643	5346	2188	2233	2592	3192	2136	758
ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), ethanolamine utilization	0	0	1	0	0	0	0	0
ATPase component BioM of energizing module of biotin ECF transporter	0	0	1	0	0	0	0	0
ATPase component CbiO of energizing module of cobalt ECF transporter	0	0	0	0	0	2	0	0
ATPase component NikO of energizing module of nickel ECF transporter	0	0	0	1	0	0	1	0
ATPase component of energizing module of predicted queuosine-regulated ECF transporter	0	0	0	0	0	0	0	0
ATPase component of general energizing module of ECF transporters	2434	8548	3478	3127	3072	3882	9585	3329
ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter	0	0	0	37	1	22	57	53
ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter	1	1	1	52	3	43	64	58
ATPase YjeE, predicted to have essential role in cell wall biosynthesis	833	2771	885	4457	1673	3490	5394	3275
ATPase, AFG1 family	0	0	1	0	0	0	0	0
Autoinducer 2 (AI-2) ABC transport system, membrane channel protein LsrC	47	91	148	164	1747	292	78	32
Autoinducer 2 (AI-2) modifying protein LsrG	0	0	0	0	5	0	0	0
Autolysis histidine kinase LytS	2	4	4	189	91	80	226	86
Autolysis response regulater LytR	761	2273	887	556	623	1935	1411	780
Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE	0	0	0	0	0	0	0	0
Bacitracin export ATP-binding protein BceA	6	9545	4	8	2	5	6	6
Bacitracin export permease protein BceB	173	3782	2533	284	676	463	1192	1184
Bacterial luciferase family protein YtmO, in cluster with L-cystine ABC transporter	0	0	0	0	0	0	1	0
Bacterial proteasome-activating AAA-ATPase (PAN)	0	0	0	0	0	0	0	0
Bacteriochlorophyllide c C12 methyltransefase BchR	0	0	0	0	0	0	2	0
bacteriocin transport accessory protein	2	0	0	1	0	0	0	1
Bacterocin transport accessory protein	1	1	1	2	1	1	1	3
BatA (Bacteroides aerotolerance operon)	3	5	1	325	239	697	1206	585
BatB	1	3	2	551	343	1134	1926	1002
BatC	2	4	3	157	34	1145	348	74
BatD	1	4	0	195	128	338	873	312
BatE	0	0	0	0	0	0	1	0
benzoate MFS transporter BenK	6	12	12	922	1500	7159	616	118
Benzoate transport protein	0	0	0	0	0	0	0	0
Benzoate transport, extracellular ligand-binding receptor	0	0	1	0	0	0	0	0
Benzoyl-CoA reductase subunit BadD (EC 1.3.99.15)	14	39	12	4320	1271	2952	9738	2848
Benzoyl-CoA reductase subunit BadE (EC 1.3.99.15)	21	41	15	4297	1208	3192	10674	2994
Benzoyl-CoA reductase subunit BadF (EC 1.3.99.15)	0	1	0	0	1	0	0	0
Benzoyl-CoA reductase subunit BadG (EC 1.3.99.15)	11	22	10	5622	1020	2862	7555	3122
Beta N-acetyl-glucosaminidase (EC 3.2.1.52)	0	0	0	0	0	0	0	1
Beta-1,3-glucosyltransferase	425	1636	1057	444	172	513	1400	790
Beta-1,4-galactosyltransferase	1	3	2	500	3	5	853	469
Beta-galactosidase (EC 3.2.1.23)	224	466	155	1160	768	1169	3608	995
Beta-galactosidase 3	0	0	0	2	2	5	5	2
Beta-galactosidase large subunit (EC 3.2.1.23)	208	254	150	1	0	0	0	1
Beta-galactosidase small subunit (EC 3.2.1.23)	372	729	353	0	0	1	0	1
Beta-glucanase precursor (EC 3.2.1.73)	452	963	650	3	5	3	3	7
Beta-glucosidase (EC 3.2.1.21)	37	1004	3058	311	553	478	606	169
Beta-glucoside bgl operon antiterminator, BglG family	309	726	269	5	4	3	5	4
Beta-glucuronidase (EC 3.2.1.31)	3	7	2	737	745	36	1692	498
Beta-hexosaminidase (EC 3.2.1.52)	66	91	48	18041	3841	3613	6365	2129
Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)	76	202	46	0	0	0	0	0
Beta-lactamase	0	0	0	0	0	2	2	0
Beta-lactamase (Cephalosporinase) (EC 3.5.2.6)	0	0	0	6	8	43	3	1
Beta-lactamase (EC 3.5.2.6)	17	25	7	384	1248	2040	2795	1386
Beta-lactamase class A	498	1335	719	534	828	1127	334	87
Beta-lactamase class C and other penicillin binding proteins	7752	17705	12258	974	1615	2183	1875	181
Beta-lactamase, class C	0	0	0	0	0	0	0	0
Beta-mannosidase (EC 3.2.1.25)	0	0	1	55	4	3	37	9
Beta-phosphoglucomutase (EC 5.4.2.6)	27469	49318	18179	17230	35551	35631	22313	3854
Beta-xylosidase (EC 3.2.1.37)	0	0	0	27	23	0	29	6
Betaine aldehyde dehydrogenase (EC 1.2.1.8)	1	0	0	0	0	0	0	0
Betaine reductase component B alpha subunit (EC 1.21.4.4)	0	0	0	1	1	0	1	0
Bifunctional autolysin Atl	0	0	0	3	0	0	0	0
Biofilm operon icaABCD HTH-type negative transcriptional regulator IcaR	0	0	3	0	0	0	0	0
Biofilm PGA outer membrane secretin PgaA	0	0	0	0	0	0	0	0
Biofilm PGA synthesis deacetylase PgaB (EC 3.-)	0	1	0	0	0	0	0	0
Biofilm PGA synthesis N-glycosyltransferase PgaC (EC 2.4.-.-)	1	2	0	1	1	1	1	1
Biopolymer transport protein ExbD/TolR	175	376	144	27643	43654	70390	116074	55288
Biosynthetic arginine decarboxylase (EC 4.1.1.19)	2	4	1	350	587	828	1778	830
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)	0	1	0	0	1	1	0	0
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	1	1	1	1	1	1	1	1
Biotin carboxyl carrier protein of acetyl-CoA carboxylase	3	3	2	2	2	4	2	4
Biotin carboxyl carrier protein of glutaconyl-CoA decarboxylase	0	0	0	0	0	6	25	0
Biotin carboxyl carrier protein of methylmalonyl-CoA decarboxylase	4	15	9	1086	1164	3471	7456	3583
Biotin carboxyl carrier protein of methylmalonyl-CoA:Pyruvate transcarboxylase	0	6	0	11	0	2	2	0
Biotin carboxyl carrier protein of oxaloacetate decarboxylase	1	6	1	1	1	6	1	1
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	7	5	2	264	80	3164	495	484
Biotin sulfoxide reductase (EC 1.-.-.-)	0	1	0	0	0	0	0	0
Biotin synthase (EC 2.8.1.6)	6	6	1	106	61	247	289	203
Biotin synthesis protein bioC	0	0	0	1	0	2	0	1
Biotin synthesis protein bioG	0	0	0	0	0	0	0	0
Biotin synthesis protein bioH	1	445	1	1	3	2	1	1
Biotin-protein ligase (EC 6.3.4.15)	22	56	27	1621	1552	3447	6870	3521
biphenyl-2,3-diol 1,2-dioxygenase III-related protein	1	3	1	1	1	1	1	1
Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	5	20	24	1255	2502	2394	1248	323
Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)	0	2	0	0	0	1	0	0
Blue copper oxidase CueO precursor	5460	24847	549	9	9	10	8	7
Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	1217	0	2	0	0	0	1	0
Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	1237	0	0	0	11	0	0	1
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	7	5	5	504	896	3435	744	60
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	12	27	10	2847	1955	4940	10183	4169
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	16	4	3	229	416	1667	381	53
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	2	5	1	351	713	1492	508	20
Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	2	3	3	204	556	1373	287	9
Broad-substrate range phospholipase C (EC 3.1.4.3)	1856	0	1	1	0	0	3	1
Butyrate kinase (EC 2.7.2.7)	1805	0	1	0	0	0	0	0
Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)	0	2	0	0	2	0	40	0
Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	0	0	0	2	0	0	36	0
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	430	1024	371	32892	12106	42235	72132	27194
C-terminal domain of CinA type S	1	2	1	1469	6	5	19	11
C-terminal domain of CinA type S homolog	1	3	1	395	132	310	597	352
C3-degrading proteinase	0	1	0	0	0	0	0	0
C4-type zinc finger protein, DksA/TraR family	2	9	2	688	999	2106	4665	2076
C5a peptidase (EC 3.4.21.-)	1	6	0	2	1	3	6	1
Cadmium efflux system accessory protein	37	88	25	1508	1180	3288	2109	2167
Cadmium resistance protein	5	13	11	731	1104	852	288	123
Cadmium-transporting ATPase (EC 3.6.3.3)	1549	2457	1074	431	86	263	973	581
CAMP factor	1	2	2	10	1	2	5	2
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	5	19	6	1285	732	2377	4308	1733
Candidate zinc-binding lipoprotein ZinT	1	8	1	129	71	48	70	26
capsular polysaccharide biosynthesis protein	2	2	1	110	29	48	794	331
Capsular polysaccharide biosynthesis protein CpsK(V)	0	0	0	0	0	0	0	0
capsular polysaccharide biosynthesis protein, putative	0	0	0	0	0	0	0	0
Capsular polysaccharide biosythesis protein CpsI	0	0	0	0	0	0	0	1
Capsular polysaccharide export system protein KpsC	0	0	0	0	0	0	0	0
Capsular polysaccharide export system protein KpsF	1	2	1	312	325	604	1295	628
Capsular polysaccharide repeat unit transporter CpsL	0	0	0	1	0	0	1	0
Capsular polysaccharide synthesis enzyme Cap5D	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5E	0	0	2	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5F	0	0	1	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5L	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap5M	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap8H	0	0	1	0	1	0	0	0
Capsular polysaccharide synthesis enzyme Cap8I	0	0	0	0	0	1	0	0
Capsular polysaccharide synthesis enzyme Cap8J	0	0	0	0	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap8O	0	0	1	2	0	0	0	2
Carbamate kinase (EC 2.7.2.2)	30	4584	56	1806	1686	1870	2954	311
Carbamate kinase-like protein YqeA	0	0	0	1	0	1	1	1
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	6926	22331	7915	4442	2139	7197	10293	3982
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	7431	22116	7077	3444	2919	7555	4743	2550
Carbohydrate Esterase Family 4	0	0	0	1	0	0	2	0
Carbon starvation protein A	13	28	12	2328	4618	2282	9621	3402
Carbon starvation protein A paralog	0	0	0	0	0	0	0	0
Carbon storage regulator	1	1	1	1	1	1	1	1
Carbonic anhydrase (EC 4.2.1.1)	2	2	2	296	303	755	1515	797
Carboxyl-terminal protease (EC 3.4.21.102)	11	28	58	2073	2255	4771	3206	1430
Carboxynorspermidine decarboxylase, putative (EC 4.1.1.-)	1	3	1	144	130	237	473	212
Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)	6	9	3	1487	1662	3441	4156	2175
Cardiolipin synthetase (EC 2.7.8.-)	246	501	266	272	640	488	819	332
Carnitine operon protein CaiE	0	0	0	0	0	0	1	0
Carnitine racemase (EC 5.-.-.-)	0	0	1	0	0	0	0	0
Carotenoid cis-trans isomerase (EC 5.2.-.-)	362	951	144	318	917	1764	1913	1344
Catabolite control protein A	1419	2037	1482	563	1482	1258	614	122
Catabolite repression HPr-like protein Crh	1	4	1	1	1	1	1	1
Catalase (EC 1.11.1.6)	1	1	1	1	1	10	3	1
Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A	1	1	1	1	1	3	1	1
Cation ABC transporter, periplasmic cation-binding protein, PA2407 homolog	5	3	4	783	2320	1907	3909	1670
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	2331	5325	5528	20998	26996	3716	54933	4821
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	442	846	279	280	441	448	1062	619
CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	397	1241	1036	410	508	758	230	48
CDS_ID OB2202	0	0	0	1	0	1	0	1
Cell division initiation protein DivIVA	6824	17366	10298	8202	5992	11707	14115	6564
Cell division protein BolA	0	0	0	0	0	0	0	0
Cell division protein DivIC	17	20	32	2508	748	1732	2080	2125
Cell division protein FtsA	2813	7597	4634	6236	7338	12457	8305	2690
Cell division protein FtsB	0	0	0	0	0	0	0	0
Cell division protein FtsH (EC 3.4.24.-)	6513	19149	8431	10852	9273	12182	17429	8613
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	491	1382	1212	6743	4102	7266	10776	5434
Cell division protein FtsJ	0	0	0	0	0	0	0	0
Cell division protein FtsK	1170	2606	1352	3284	3183	4684	4303	1603
Cell division protein FtsL	1691	3831	3156	1202	2118	1554	1132	284
Cell division protein FtsN	0	0	0	0	0	1	0	0
